HIGH_RISK_score,MONITORING_score,LOW_RISK_score,risk_level
0.8446686826953435,0.045825330441112956,0.10950598686354346,HIGH_RISK
0.5480115481284495,0.443359844133896,0.008628607737654548,HIGH_RISK
0.4745618226753365,0.5160707753763458,0.009367401948317677,MONITORING
0.16753690321664405,0.6778451473712644,0.1546179494120915,MONITORING
0.19105968586291594,0.4083037824551013,0.4006365316819829,MONITORING
0.47141893460986695,0.4843016635079389,0.04427940188219416,MONITORING
0.4045286649080006,0.5554445141466515,0.040026820945347805,HIGH_RISK
0.1510575865732716,0.7984122855900179,0.050530127836710396,MONITORING
0.21899413095286496,0.703126986859892,0.07787888218724308,MONITORING
0.404515550593691,0.5554557282456272,0.04002872116068188,HIGH_RISK
0.15268315154405054,0.8191373889151758,0.02817945954077346,MONITORING
0.011441781231024361,0.02590205458764396,0.9626561641813317,LOW_RISK
0.15295108553556308,0.7874456334195458,0.05960328104489116,MONITORING
0.8684279095867925,0.09824644394038634,0.03332564647282114,HIGH_RISK
0.15268316520822628,0.8191373628462659,0.028179471945507743,MONITORING
0.06476835888462208,0.9001001144522435,0.035131526663134446,MONITORING
0.34370972598827726,0.4532463713103695,0.2030439027013533,MONITORING
0.28776806256083937,0.581449753010782,0.1307821844283786,MONITORING
0.9727030209779735,0.020274675212486284,0.007022303809540293,HIGH_RISK
0.9601744930874476,0.03779568690606625,0.0020298200064861128,HIGH_RISK
0.06476835844381772,0.900100114216137,0.03513152734004537,MONITORING
0.7579088148844034,0.15249402797126005,0.08959715714433658,HIGH_RISK
0.04812709996315899,0.13465588142882137,0.8172170186080197,LOW_RISK
0.04379457623050879,0.1105566094754979,0.8456488142939933,MONITORING
0.38941179084208133,0.5211898528107595,0.08939835634715926,MONITORING
0.9601744474900227,0.03779572443702521,0.002029828072952121,HIGH_RISK
0.11949747656140053,0.7775393477065646,0.1029631757320348,MONITORING
0.1510566082864943,0.7984151854025248,0.05052820631098086,MONITORING
0.7844000272240789,0.03564149504717349,0.17995847772874768,HIGH_RISK
0.29777143149085233,0.6945542992803536,0.00767426922879401,MONITORING
0.17329860354301607,0.4275516807821716,0.39914971567481233,MONITORING
0.11949747631782659,0.777539343953219,0.10296317972895445,MONITORING
0.17671165993074778,0.7866662775712657,0.03662206249798658,MONITORING
0.01144270286592025,0.0259035956069177,0.9626537015271621,LOW_RISK
0.9277428966379855,0.048812740794219024,0.023444362567795612,HIGH_RISK
0.10745148585152323,0.8895579534004859,0.002990560747990856,MONITORING
0.7733842681845501,0.10905158078029004,0.11756415103515984,HIGH_RISK
0.8925673397680359,0.07965191441836429,0.027780745813599888,HIGH_RISK
0.011442330571155818,0.025902973755916405,0.9626546956729277,LOW_RISK
0.37232731182741563,0.4530577790675151,0.17461490910506927,MONITORING
0.06364031352130858,0.9237000222101439,0.01265966426854756,MONITORING
0.7579042937557621,0.15248850612368905,0.08960720012054886,HIGH_RISK
0.13451363618916715,0.47219536732752854,0.39329099648330434,MONITORING
0.15105735471787266,0.7984129733615257,0.050529671920601524,MONITORING
0.5480394306929902,0.4433351629028855,0.008625406404124345,HIGH_RISK
0.0647683558672182,0.9001001233998775,0.03513152073290411,MONITORING
0.06364029993845541,0.9237000461485602,0.012659653912984369,MONITORING
0.06476835895424184,0.9001001129094834,0.035131528136274764,MONITORING
0.339639945678044,0.3077462663792924,0.35261378794266346,MONITORING
0.20255505676281169,0.5723984602297684,0.2250464830074199,MONITORING
0.8928161910479298,0.0869438549783702,0.020239953973700032,HIGH_RISK
0.9277428977913381,0.04881274007004527,0.023444362138616757,HIGH_RISK
0.9485713909871012,0.0507513573795271,0.0006772516333717666,HIGH_RISK
0.7722119253812956,0.16589613495169708,0.061891939667007255,HIGH_RISK
0.4045602269773134,0.5554175876698696,0.040022185352817055,HIGH_RISK
0.048134176721065444,0.13465888113351515,0.8172069421454193,LOW_RISK
0.15268372564281954,0.8191362575501335,0.02818001680704687,MONITORING
0.9390780945112381,0.05812550602228258,0.0027963994664794442,HIGH_RISK
0.8139951127814864,0.09564154492829252,0.09036334229022101,HIGH_RISK
0.15268354096010137,0.8191366215533867,0.02817983748651187,MONITORING
0.06476835844381772,0.900100114216137,0.03513152734004537,MONITORING
0.11949747592926498,0.7775393461710137,0.10296317789972133,MONITORING
0.15268319625936294,0.8191373012094626,0.028179502531174502,MONITORING
0.1497967010477926,0.26180356580274583,0.5883997331494615,MONITORING
0.5943419039966231,0.3828065483669027,0.02285154763647416,HIGH_RISK
0.17671166686100023,0.7866661032446193,0.036622229894380486,MONITORING
0.20216478463681659,0.7733638108575773,0.024471404505606174,MONITORING
